目录编号,视频ID,视频标题,发布时间_格式化,视频时长(s),点赞数,分享数,播放数,评论总数
25,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,71,95933,8621,2856309,12178
10,7343240904922139904,数读政府工作报告：长风破浪，未来可期！#绘说现代化,2024-03-06 21:25:16,102,41914,2990,1373748,12
14,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,111,39102,6609,1837677,13194
88,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,57,35651,2152,757023,1454
2,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,90,35042,2981,1453380,6161
11,7344891279248985384,用AI视角打开“两会热词”，读懂人民的期盼。#绘说现代化,2024-03-11 08:09:31,157,34736,2234,1151721,3501
22,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,89,31344,5444,1541046,9407
26,7386225241367924003,“桂”在开放！66秒看广西如何向新而行🔥 #绘说现代化,2024-06-30 17:26:29,66,29431,454,440935,157
12,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,93,26333,3475,1533093,4467
19,7367940261797760291,2023年我国授权发明专利92.1万件✌️专利变“红利”，创新发展有动力！#绘说现代化,2024-05-12 10:51:23,85,24100,4905,1596480,12
1,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,60,23559,427,946139,843
99,7575341215181977930,中国人的饭碗端得更牢了！2024年，全国粮食产量首次突破1.4万亿斤；2024年底，农业科技进步贡献率达到63.2%！#绘说现代化 #AI大家创 #媒体精选计划,2025-11-22 08:32:55,66,21968,1647,1137943,2866
4,7328196474980797715,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,2024-01-26 08:25:26,68,21792,7226,1160108,6437
92,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,42,20718,341,373203,39
47,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,83,20211,3649,1210905,6005
44,7432554739042176308,设备“更新”产业“焕新”！100秒看“两新”工作新在哪🔥 #绘说现代化,2024-11-02 13:48:44,98,17898,4175,1012916,4972
72,7505210116377201946,在古村体验一场激情澎湃的马拉松，在白云深处看清晨的第一缕阳光洒在梯田上……山水为卷，文化为魂，江西绘就“诗和远方”新图景👍#绘说现代化 #即梦ai,2025-05-17 08:48:44,50,17135,102,170171,167
34,7406599046112005428,累计调水740多亿立方米！90秒看南水北调工程有多牛👍 #绘说现代化,2024-08-24 15:07:19,95,14117,1155,686701,1396
30,7396485913095834915,中国世界遗产总数达到59项！88秒看文化中国闪耀世界👏#绘说现代化,2024-07-28 09:03:13,87,12533,1099,840889,1315
29,7393633280182029618,万米海底，有“奋斗者”号；大山深处，有“中国天眼”；浩瀚太空，有“嫦娥”奔月…创新中国生机勃勃！#绘说现代化,2024-07-20 16:33:27,104,10873,302,555057,7
31,7398734116654468367,暑期旅游，“热”力十足；新型消费，不断拓展！80秒看活力中国潜力十足🔥#绘说现代化,2024-08-03 10:27:20,82,9139,940,715977,1780
43,7429939082479881487,茂名的荔枝、枣庄的石榴、东山的海鲜…90秒看中国农业大有可为！#绘说现代化,2024-10-26 12:43:15,94,8887,1275,545252,2007
15,7357239472414674210,数字中国一路向前！1分钟看中国5G技术有多强。 #绘说现代化,2024-04-13 14:46:54,77,8137,1987,750986,415
48,7443001784550935859,100秒看科技强国扎实推进！一起感受中国式现代化的磅礴力量！#绘说现代化,2024-12-01 09:00:00,100,3117,863,207555,61
64,7484832580353740071,中国人春耕的科技含量有多高？农机+北斗、植保+无人机…60秒打开万象“耕”新的春天👍#绘说现代化,2025-03-23 10:56:32,68,3036,741,101743,94
